DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Extreme,site_month,slope,0.001960648990571658,0.00017524326038069842,1.0,0.0
Extreme,site_month,elevation,0.0010297661683189288,0.00013032473111712886,2.1,0.3077935056255463
Extreme,site_month,soil_temperature,0.0008440628422333666,9.684259011732323e-05,2.9,0.3077935056255463
Extreme,site_month,aspect_sin,0.0002388093213375639,3.9676383254360625e-05,4.3,0.4701623459816272
Extreme,site_month,SPI_intensity,0.00020886050978255471,3.913705903495429e-05,4.95,0.8870412083230169
Extreme,site_month,soil_moisture,0.0001512051473203631,2.954114795524897e-05,6.6,0.8825799501580879
Extreme,site_month,aspect_cos,0.0001394603589220811,3.0418797490241375e-05,7.1,1.1192102478745307
Extreme,site_month,Duration_days,0.00013607811564392557,2.6973667896944132e-05,7.25,1.019545822516343
Extreme,site_month,LAI,9.326993204152995e-05,1.4429834661185062e-05,9.0,0.6488856845230502
Extreme,site_month,FAPAR,7.848706465724319e-05,1.4278443446348914e-05,9.85,0.4893604849295929
Extreme,site_month,canopy_height,4.4508220334512e-05,1.1060540453298374e-05,10.95,0.22360679774997885
